Order Number,Cust Code,PO,Item,Part ID,Required Qty,Request Date,Estimated Delivery Dates,Pulling Dates,Available Qty,Fulfilled Qty,Remaining Qty,PO Create Date,Lead Time (Days),Status,Notes,Stock Before,Stock After,Stock Used,Flight Qty Used,Flight Details,Warehouse Notes
1,HZ4600,3000330379,00010,PIC18F66J50-I/PT,160,2025-10-18,No Flights Available,N/A,0,0,160,2025-07-28,0,No Inventory Available,No current stock or future flights available. Required: 160,0,0,0,0,,No inventory available - no current stock or future flights
2,HZ4600,3000330379,00020,PIC18F66J50-I/PT,160,2025-10-18,No Flights Available,N/A,0,0,160,2025-07-28,0,No Inventory Available,No current stock or future flights available. Required: 160,0,0,0,0,,No inventory available - no current stock or future flights
3,HZ4600,3000305125,00010,X1B000421000115,2000,2025-09-02,2000×2025-09-02 (stock),N/A,2000,2000,0,2025-04-14,0,In Stock,Fully fulfilled from stock: 2000,2000,0,2000,0,,2000 from stock → 2025-09-02
4,HZ4600,3000310145,00010,X1B000421000115,2000,2025-09-19,2000×2025-08-15 (flight),2000×2025-08-13,2000,2000,0,2025-05-06,-35,Awaiting Flight,Fully fulfilled from flights: 2000 (last departure: 2025-08-12),0,0,0,2000,2000×2025-08-12,2000 from flight 2025-08-12 → 2025-08-15
5,HZ4600,3000329449,00010,X1B000421000115,2000,2025-11-11,2000×2025-08-15 (flight),2000×2025-08-13,2000,2000,0,2025-07-24,-88,Awaiting Flight,Fully fulfilled from flights: 2000 (last departure: 2025-08-12),0,0,0,2000,2000×2025-08-12,2000 from flight 2025-08-12 → 2025-08-15
6,HZ4600,3000320758,00020,Q13FC1350000400,6000,2025-08-29,6000×2025-08-29 (stock),N/A,6000,6000,0,2025-06-16,0,In Stock,Fully fulfilled from stock: 6000,9000,3000,6000,0,,6000 from stock → 2025-08-29
7,HZ4600,3000322656,00010,Q13FC1350000400,6000,2025-09-12,6000×2025-08-27 (flight),6000×2025-08-25,6000,6000,0,2025-06-23,-16,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-08-22),0,0,0,6000,6000×2025-08-22,6000 from flight 2025-08-22 → 2025-08-27
8,HZ4600,3000324027,00010,Q13FC1350000400,6000,2025-10-03,"3000×2025-09-17 (flight), 3000×2025-09-17 (flight)","3000×2025-09-15, 3000×2025-09-15",6000,6000,0,2025-06-30,-16,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-09-11),0,0,0,6000,"3000×2025-09-11, 3000×2025-09-11",3000 from flight 2025-09-11 → 2025-09-17; 3000 from flight 2025-09-11 → 2025-09-17
9,HZ4600,3000325640,00010,Q13FC1350000400,6000,2025-10-10,6000×2025-09-17 (flight),6000×2025-09-15,6000,6000,0,2025-07-07,-23,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-09-11),0,0,0,6000,6000×2025-09-11,6000 from flight 2025-09-11 → 2025-09-17
10,HZ4600,3000327284,00010,Q13FC1350000400,6000,2025-10-24,"3000×2025-09-17 (flight), 3000×2025-09-17 (flight)","3000×2025-09-15, 3000×2025-09-15",6000,6000,0,2025-07-14,-37,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-09-11),0,0,0,6000,"3000×2025-09-11, 3000×2025-09-11",3000 from flight 2025-09-11 → 2025-09-17; 3000 from flight 2025-09-11 → 2025-09-17
